0,振動の宝石,200,
1,壺ワーム,500,
2,振動の杖,2000,
3,アナルワーム,5000,
4,ペニスバンド,2000,
5,アイマスク,4000,
6,水晶球,7000,
7,クリキャップ,2000,
8,二プルキャップ,3000,
9,ボールギャグ,1000,
10,鞭,200,
11,針,2000,
12,オナホール,4000,
13,プレイマット,5000,;お風呂場でプレイの幅が広がる
14,縄,3000,
15,浣腸器＋プラグ,8000,
16,大鏡,30000,;羞恥プレイが可能になる
17,搾乳器,1500,
18,首輪,5000,;野外プレイが可能になる
19,エプロン,10000,;新妻プレイが可能になる
20,アナルビーズ,7000,
21,電極プラグ,50000,
22,野良犬,3000,;獣姦調教が可能に
23,ボンデージ,10000,;助手専用
;,,,
24,コンドーム,100,;定番の避妊具、避妊には十分だが、使い捨て
25,ローション,200,
26,媚薬,2000,;他のeraシリーズの媚薬にあたるアイテム
27,利尿剤,1000,
28,水晶球の魔力源,500,;ビデオカメラの使用に必要。使い捨て
29,虫下し,500,;寄生を解除する
;,,,
30,栄養剤,1000,;体力を300回復する
31,お香,3000,;否定の珠を半減する
;33,WGバッテリー,100000,;キャラの寿命を延ばす
34,ピアスリング,5000,;キャラにピアスを付ける
35,観戦チケット,700,;闘技場利用に必要
;,,,
37,ラブスコープ,1000,;調教対象の好感度が表示されるようになる
38,ブースターメール,100000,;マスターにTAL:魅惑がつく
39,【魔界知識】,100000,;マスターにTAL:秘密知識がつく
;,,,
40,排卵誘発剤,2000,;敢えて孕ませる場合に使う。
41,剛毛剤,2000,;陰毛を生やす
;,,,
42,【調合知識】,40000,;マスターにTAL:調合知識がつく
52,【技巧Lv】,5000,;マスターの技巧が上昇
53,【経験値】,1000,;経験値を10得る
;罠関係素質,,,
54,【淫魔知識】,100000,;魔王にTAL:淫魔知識がつく
55,【罠Lv】,5000,;罠の効果を増やす
56,【魔蟲知識】,10000,;一部の罠を強化するTAL:魔蟲知識がつく
;ここから罠,,,
60,落とし穴,10,
61,矢の罠,50,
62,テレポートの罠,80,
63,一方通行の罠,100,
64,催淫ガスの罠,120,
65,触手床の罠,150,
66,媚薬沼の罠,170,
67,自慰催眠の罠,180,
68,擬態部屋の罠,190,
69,召喚の罠,1000,
70,夢魔の罠,180,
71,スライム部屋の罠,90,
72,蜘蛛の巣,10,
73,行商人,70,
74,暗闇の罠,200,
75,シュート,180,
76,魔力拡散の罠,300,
77,油壺の罠,50,
78,火炎放射の罠,110,
79,アナルワームの罠,80,
80,淫虫の罠,60,
81,宝石の罠,20,
82,攻撃陣地の罠,40,
83,防御陣地の罠,40,
84,魔法陣地の罠,40,
85,腕の罠,100,
;,,,
90,触手生物,50000,;触手調教が可能に
91,装飾の指輪,100,;呪いアイテム
;,,,
;ここからモンスター,,,
100,コボルト,100,;1Fのユニット
101,ゴブリン,100,
102,ウーズ,100,
103,ドラゴンフライ,200,
104,ゾンビ,10,
110,オーク,200,;2Fのユニット
111,ホブゴブリン,180,
112,モンスターアイビー,240,
113,ゾンビワーム,360,
114,ゾンビハウンド,100,
120,リザードマン,350,;3Fのユニット
121,オーガ,230,
122,アーマーイーター,400,
123,フェアリー,420,
124,ポイズンセンティピード,200,
130,トロール,430,;4Fのユニット
131,ガーゴイル,340,
132,インプ,450,
133,ウィザード,500,
134,バンシー,300,
140,レッサーデーモン,510,;5Fのユニット
141,ヘルハウンド,480,
142,スライム,570,
143,ウィッチ,600,
144,ヴァンパイアツリー,400,
150,ジャイアント,630,;6Fのユニット
151,キマイラ,560,
152,サキュバス,680,
153,プリースト,700,
154,ナイトガール,500,
160,クノイチ,710,;7Fのユニット
161,ダークナイト,690,
162,ブレインイーター,750,
163,プリーステス,800,
164,ピクシー,600,
170,ニンジャ,830,;8Fのユニット
171,デュラハン,740,
172,ヴァンパイア,890,
173,ウィスプ,900,
174,デススコーピオン,700,
180,アークデーモン,1000,;9Fのユニット
181,ロードオブデス,1000,
182,リリス,1000,
183,ナイトメア,1000,
184,イビルアイ,1000,
190,スケルトン,1,;穴埋め用のスケルトンと、8F以降にランダム遭遇する強力モンスター
191,ダークメサイア,10000,
192,ナインテイル,10000,
193,カオスドラゴン,10000,
;,,,
;201～調教可能モンスター。現状280までを確保とする,,,
201,コマンダースライム,15,
202,コマンダーコボルト,15,
203,コマンダーアント,15,
204,コマンダースプラウト,15,
205,コマンダースキュラ,15,
206,コマンダーフェアリー,15,
207,ジャイアント酋長,15,
;208,コマンダーデーモン,15,;男勇者できてから考える
209,コマンダーデビル,15,
210,ハウンドリーダー,15,
;,,,
;300以降は装備品,,,
300,装飾指輪,1,;何もなし
301,破壊の指輪,1,;ダメージ増加
302,護りの指輪,1,;装備リセット時強化
303,加速の指輪,1,;先手になりやすく
304,再生の指輪,1,;回復量増加
305,意思の指輪,1,;気力回復量増加
306,欲望の指輪,1,;即落ち付与
307,怪力の指輪,1,;装備リセット時攻撃値増加
