;-------------------------------------------------,,
;0-199 基本素質,,
;-------------------------------------------------,,
0,処女,
1,童貞,
;,,
9,崩壊,;売却額がかなり低下。営業で客の満足度激減
;,,
;性格,,
10,臆病,;ABL:従順が上げやすい。PALAM:反感が上がりにくい
11,反抗的,;コマンドを実行しにくい。売却の際に従順4以上必要。PALAM:恭順と欲情が上がりにくい
12,気丈,;コマンドを実行しにくい。売却の際に従順4以上必要
13,素直,;コマンドを実行しやすい。ABL:従順と奉仕精神が上げやすい。PALAM:恭順が上がりやすい
14,大人しい,;PALAM:反感が上がりにくい
15,プライド高い,;コマンドを実行しにくい。ABL:技巧と奉仕精神が上げにくい。PALAM:屈服が上がりにくい
16,生意気,;ABL:従順と奉仕精神が上げにくい。
17,プライド低い,;コマンドを実行しやすい。ABL:奉仕精神が上げやすい。PALAM:屈服が上がりやすい
18,ツンデレ,;反抗的を同時に持つ場合、従順4以上で反抗的→素直に変更
;,,
;性への関心,,
20,自制心,;売却の際に欲望4以上必要。ABL:奉仕精神が上げにくい。快楽系PALAMが上がりにくい
21,無関心,:ABL:奉仕精神が上げにくい。PALAM:恭順、欲情、屈服、恐怖、反感が上がりにくい
22,感情乏しい,:ABL:奉仕精神が上げにくい。PALAMが全体的に上がりにくい
23,好奇心,;コマンドを実行しやすい。PALAM:習得が上がりやすい
24,保守的,;コマンドを実行しにくい。ABL:奉仕精神が上げにくい。PALAM:習得が上がりにくい
25,楽観的,;ABL:奉仕精神が上げやすい。PALAM:抑鬱が上がりにくい
26,悲観的,;ABL:奉仕精神が上げやすい。PALAM:抑鬱が上がりやすい
27,一線越えない,;全てのABLが上げにくい
28,目立ちたがり,;コマンドを実行しやすい。ABL:露出癖が上げやすい
;,,
;乙女心,,
30,貞操観念,;情愛系調教の効果が低い。PALAM:反感が上がりやすい
31,貞操無頓着,;情愛系調教の効果が低い。PALAM:反感が上がりにくい
32,抑圧,;コマンドを実行しにくい。売却の際に欲望4以上必要。PALAM:欲情が上がりにくい。PALAM:反感が上がりやすい
33,解放,;ABL:マゾっ気とABL:レズっ気が上げやすい。PALAM:欲情と屈服が上がりやすい
34,抵抗,;コマンドを実行しにくい。売却の際に欲望4以上必要。PALAM:欲情が上がりにくい。PALAM:反感が上がりやすい
35,恥じらい,;コマンドを実行しにくい。露出系調教の効果が高い
36,恥薄い,;露出系調教の効果が低い
37,弱味,;コマンドを実行しやすい
;,,
;体質,,
40,痛みに弱い,;PALAM:恐怖と反感が上がりやすい。ABL:マゾっ気があるとSM系調教でPALAM:欲情が上がりやすい
41,痛みに強い,;PALAM:恐怖と反感が上がりにくい
42,濡れやすい,;PALAM:潤滑が上がりやすい
43,濡れにくい,;PALAM:潤滑が上がりにくい
44,涙もろい,;
45,泣かない,;プレイ中に涙を見せない
46,薬物中毒,;しあわせ草使用による気力、体力消費軽減＋効果増大。しあわせ草を与えないと7日ごとに禁断症状が起きる
47,精愛味覚,;精液を飲むだけで絶頂してしまう体質。ABL:精液中毒が上げやすい
48,近視,;眼鏡が似合う
;,,
;技術,,
50,習得早い,;ABL:奉仕精神が上げやすい。PALAM:習得が上がりやすい
51,習得遅い,;ABL:奉仕精神が上げにくい。PALAM:習得が上がりにくい
52,舌使い,;フェラ系調教の効果が高い
55,調合知識,;特殊なアイテムを購入できる。コマンド「しあわせ草」の体力と気力の消費が少ない
56,薬毒耐性,;コマンド「しあわせ草」「利尿剤」が実行不可
57,おもらし癖,;放尿コマンドが常に使えるようになる。絶頂時に放尿。
;,,
;潔癖度,,
60,自慰しやすい,;自慰関連が実行しやすい。ABL:自慰中毒が上げやすい
61,汚臭鈍感,;フェラ系調教を実行しやすい。ABL:精液中毒が上げやすい
62,汚臭敏感,;フェラ系調教を実行しにくい。ABL:精液中毒が上げにくい
63,献身的,;奉仕系調教を実行しやすい。ABL:奉仕精神が上げやすい。PALAM:屈服が上がりやすい
64,汚れ無視,;調教者の時に汚れによるペナルティをうけない
;,,
;正直度,,
70,快感に素直,;コマンドを実行しやすい。ABL:欲望と奉仕精神が上げやすい。PALAM:欲情が上がりやすい
71,快感の否定,;コマンドを実行しにくい。PALAM:欲情が上がりにくい
72,中毒しやすい,;ABL:自慰中毒、精液中毒、レズ中毒が上げやすい
73,即落ち,;コマンドを実行しやすい。調教時にABLが上がる事がある
;,,
;特殊性癖,,
74,自慰狂い,;Ｃ系コマンド及び自慰系コマンドの効果アップ
75,セックス狂,;Ｖ系コマンドの効果アップ
76,淫乱,;コマンドを実行しやすい。ABLが全体的に上がりやすい
77,尻穴狂い,;Ａ系コマンドの効果アップ
78,乳狂い,;Ｂ系コマンドの効果アップ
;,,
;性癖,,
79,男勝り,;オトコ以外による調教が実行しにくい。本来の素質名は「女嫌い」だが、雰囲気重視でこう表記
80,倒錯的,;SM系調教の効果が高い。ABLが全体的に上がりやすい
81,両刀,;レズ調教を実行しやすい。ABL:レズ、レズ中毒が上げやすい
82,男嫌い,;オトコによる調教が実行しにくい
83,サド,;調教者の時にコマンドを実行しやすい。ABL:奉仕精神が上げにくい
84,嫉妬,;いるだけで他のキャラの回復量減少。効果は累積する
85,愛,;主人による調教が実行しやすい。PALAM:屈服が上がりやすい
86,妄信,;コマンドを実行しやすい。PALAM:屈服が上がりやすい
87,小悪魔,;調教者の時にコマンドを実行しやすい
88,マゾ,;
89,露出狂,;
;,,
;魅了,,
91,魅惑,;調教者の時にコマンドを実行しやすい。調教者の時にPALAMが全体的に上がりやすい
92,謎の魅力,;調教者の時にコマンドを実行しやすい。調教者の時にPALAMが全体的に上がりやすい
93,威圧感,;調教者の時にコマンドを実行しやすい。調教者の時に恐怖があがりやすい
;,,
;身体特徴,,
99,大柄,;PALAM:苦痛、恐怖が上がりにくい
100,小柄体型,;PALAM:苦痛、恐怖が上がりやすい
101,Ｃ鈍感,;PALAM:快Ｃが上がりにくい
102,Ｃ敏感,;PALAM:快Ｃが上がりやすい
103,Ｖ鈍感,;PALAM:快Ｖが上がりにくい
104,Ｖ敏感,;PALAM:快Ｖが上がりやすい
105,Ａ鈍感,;PALAM:快Ａが上がりにくい
106,Ａ敏感,;PALAM:快Ａが上がりやすい
